,Observation
0,12.977644499484445
1,12.465558140444443
2,2.56496582272
3,11.27432475072
4,12.26778647552
5,13.076319032248888
6,11.10754695232
7,9.15378306296889
8,2.910978172088889
9,11.68302783936
10,2.3759692316444445
11,13.547994663751112
12,10.54011530119111
13,10.664714032995557
14,11.46551428401778
15,14.085870600462222
16,14.64904820288
17,8.833998052835556
18,11.669184893724443
19,16.190979138204444
20,9.67692354097778
21,8.511821166151112
22,8.86331267456
23,13.01415198336
24,13.438669927822222
25,11.435129816035555
26,3.267138788977777
27,3.465292866631111
28,3.9371712811377777
29,7.543075270542221
30,2.6478694648888887
31,8.904604659413334
32,10.236134430008889
33,2.3485965833955555
34,14.09598067712
35,10.977070862862222
36,12.452815257955557
37,16.518652550115558
38,3.0920287985066666
39,9.845314274915555
40,9.871447181724443
41,12.400429876835554
42,6.807247272675555
43,11.472475222328889
44,13.14205834680889
45,9.82832607345778
46,18.098414421048886
47,3.154698804195556
48,13.64516418304
49,2.516806671928889
50,2.432932691555556
51,11.36369290631111
52,14.949274012302222
53,12.915059260017776
54,2.7361645010488886
55,9.716784565048888
56,13.423145195662222
57,9.861047494613334
58,14.7259413248
59,2.603865742151111
60,11.678538226915556
61,9.538485248924443
62,4.036688189084444
63,2.586131028408889
64,13.352057673386666
65,9.209341853582222
66,9.805426743253332
67,14.146282878364444
68,8.938789487004444
69,8.719651010915555
70,9.105822209493336
71,13.091583177457778
72,8.9063108256
73,3.664059096533333
74,2.2182401099377778
75,2.174795398115556
76,8.274967652551112
77,15.272645295075554
78,9.236436924302222
79,9.551300588231111
80,7.862414074951111
81,10.78760134016
82,8.869382906737778
83,3.4665900967822223
84,12.352592909226663
85,9.355692366435555
86,12.5276094368
87,11.489321167644444
88,12.327196354488889
89,8.865656443022223
90,10.649349015466669
91,2.9223429346133334
92,14.766061089777777
93,8.83632776888889
94,2.718466186097778
95,9.956430542222222
96,11.377854454186666
97,8.959570963200001
98,2.3595868548266665
99,13.462916045937778
100,17.199358228053335
101,13.660852486115555
102,3.7672984776533336
103,8.900784895288888
104,8.267152449635555
105,8.903460069404444
106,13.123386236871111
107,2.1047051426133336
108,10.20996464448
109,7.534603663217777
110,10.10343028039111
111,9.884152815502222
112,10.4175437376
113,3.809751265493333
114,2.4653356157866666
115,8.956538289066668
116,2.562032658702222
117,13.237206982542222
118,11.332803534791111
119,17.08161800334222
120,11.55023983246222
121,4.636403209457778
122,3.0725849737244446
123,3.32688935488
124,8.575428518542223
125,2.91157326464
126,12.887558311324444
127,9.73221260024889
128,11.542625504853332
129,12.64117425472
130,12.881431709226666
131,12.713575133582223
132,9.10516458552889
133,8.865419240533333
134,8.645718096924444
135,12.560074037333331
136,10.031614347662222
137,2.83444839744
138,14.637898660622222
139,9.380252787413331
140,13.042308020906669
141,8.08561244992
142,8.667541115875556
143,14.546765298133334
144,8.591960164408889
145,8.837932633102222
146,13.573223333404444
147,6.060265286257778
148,12.195797504426666
149,13.06836327552
150,8.61565667648
151,2.0655981462755557
152,4.462472877795555
153,13.071932906026666
154,12.266197099662222
155,4.285552967822222
156,12.574527601137778
157,8.507472389475556
158,8.673171200426665
159,2.3146588162844446
160,8.895981559822221
161,9.158588363093331
162,3.197924291911111
163,8.956514989582223
164,10.60391895537778
165,8.93474546631111
166,9.639320191288888
167,11.52943959352889
168,9.071253128533334
169,8.509013283342222
170,5.304081127537778
171,2.511812462933333
172,2.6270947601777777
173,9.326364742328888
174,10.18025026368
175,3.345331898951111
176,12.766211683413331
177,8.328841584355555
178,13.51318297735111
179,8.190498840746667
180,3.3244524388977776
181,11.483014256995554
182,11.952432138595556
183,11.320984000071112
184,2.303703066097778
185,11.907330170097778
186,11.455723993315557
187,2.509288586026667
188,2.7126187505777777
189,13.501019336746667
190,11.36503039047111
191,10.320649811484444
192,9.67660996224
193,3.921630722986667
194,9.212843821866668
195,13.166745428124443
196,8.690940781013333
197,11.378294129991112
198,14.3360988416
199,13.382352862364444
200,8.699361040497777
201,10.257693129528889
202,11.645529943182222
203,13.7387811392
204,8.578173766968888
205,10.726081614506668
206,8.755337167644445
207,13.271704075448888
208,8.787893368391112
209,3.1701494619733337
210,13.977083958044444
211,8.438610291128889
212,9.23035821312
213,8.608386811733332
214,13.139076927431113
215,10.333706408106666
216,10.464267510684444
217,15.195231284408887
218,2.88705735936
219,4.0299144087466665
220,10.466514881564445
221,3.8929093293511112
222,8.584736969742222
223,10.724954086257776
224,10.956047929244445
225,2.88071749376
226,13.792765279715557
227,4.580293460266667
228,2.3419489008355554
229,8.876195462755556
230,8.550762349226666
231,13.50668284032
232,11.706376478648888
233,8.956951714773334
234,9.071321512035556
235,5.220880112711111
236,10.486599243804443
237,10.324306096924444
238,13.379846190435556
239,3.2697833957688887
240,3.2140593570133333
241,15.865605253617778
242,9.355848914275557
243,10.98753104071111
244,3.183289424213333
245,9.436980255004444
246,8.525247695360001
247,13.086613238328887
248,9.588668210275555
249,4.129302594204445
250,9.201746477795556
251,15.311429415893334
252,9.0468753792
253,2.460924413368889
254,7.33573678272
255,11.106752841315556
256,11.343737200782222
257,12.819255927466669
258,8.335836528355555
259,9.866574571662222
260,16.05432969984
261,9.166792331164444
262,11.66171001592889
263,13.77588844736
264,8.783802267875556
265,6.85786324352
266,8.659504428088889
267,12.613999050666663
268,10.723859580728888
269,2.8636589942044446
270,3.0147269535288888
271,2.199635771448889
272,3.133226259626667
273,9.218971010417778
274,9.256878864426668
275,10.11517620743111
276,11.893985794488888
277,2.390296943715556
278,11.185300504106666
279,16.228433596586665
280,12.671092314808888
281,8.719546156942222
282,13.68725413319111
283,7.873228523591111
284,15.955401895182222
285,10.432222040675557
286,5.257750424177778
287,7.376544790257778
288,8.642864396444445
289,11.139450844231112
290,11.382024007893332
291,8.965299129102222
292,13.631118272071111
293,12.450211652195556
294,8.952138165617779
295,12.177470705848888
296,9.19101961934222
